WEB3_ID,TOTAL_DEPOSIT,MIN_DEPOSIT,MAX_DEPOSIT,AVERAGE_DEPOSIT,NUMBER_OF_DEPOSITS
YoungHustler,3485,3,1350,62.232142857142854,56
odysseys,2399,100,666,342.7142857142857,7
BCSPORTS,1894,25,250,145.69230769230768,13
Osborne,1765,1,150,34.6078431372549,51
BlockchainSport,1631,5,150,90.61111111111111,18
domconex,1592,192,1200,530.6666666666666,3
DecentralGames,1554,10,500,259,6
snehur,1540,1,500,70,22
Doomer,1231,16,128,64.78947368421052,19
just_a_guy,1213,3,333,121.3,10


