WEB3_ID,TOTAL_DEPOSIT,MIN_DEPOSIT,MAX_DEPOSIT,AVERAGE_DEPOSIT,NUMBER_OF_DEPOSITS
Reunit,29065,100,7010,1384.047619,21
Millionaire,14502.79,0.2,3100,54.11488806,268
snehur,9031.46,0.1,1000,20.85787529,433
Richie_Rich,7227.57,0.01,3000,30.114875,240
yobit,6245.3,0.02,1515,53.8387931,116
hannry,5417.21,0.01,3000,23.65593886,229
a16z,4756.8577,6,777.77,73.18242615,65
an0n,4177.65,1,1208,17.3346473,241
QUID,4151.3945,0.01,245,8.014275097,518
Will ETH Rise?,4000,1000,1000,1000,4
