REWARD_POOL_EARNING,EARNERS_NUMBER
$0.01,22201
$0.02,163930
$0.02-$0.05,233333
$0.05-$0.15,220627
$0.15-$0.5,122540
$0.5-$1,46370
$1-$2,24232
$2-$5,21343
$5-$10,6124
>$10,2103
